S.No.,State,Blood Center,Address,District,Category,Phone,Email,Action
1,Andaman Nicobar,G.B.Pant Hospital Atlanta Point Medical College,"DHS Annexe Building Near Rear Gate, Port Blair , Dist. South Andaman", South Andaman,Govt.,9434266561,bbgbpantportblair@gmail.com,StockCamps
2,Andaman Nicobar,Pillar Health Centre,"Lamba Line, Post Box No:526, Junglighat Post. PortBlair, Port Blair, Dist. South Andaman", South Andaman,Charitable/Vol,9679535438,pillar.portblair@gmail.com,StockCamps
3,Andaman Nicobar,Aapadbandhu Blood Bank Vinukonda,"D.NO.27-172. 1st floor, Lawyer street, Kothapet, Vinukonda, Palnadu, Vinukonda, Dist. Palnadu", South Andaman,Charitable/Vol,8309929900,Aapadbadhubbvnk@gmail.com,StockCamps
4,Andaman Nicobar,Aapadbandhu Blood Center Guntur,"D.No..12-12-22&23,Ist& 3rd floor,above kasturi surgicals, old club road, kothapeta,Guntur, Guntur, Dist. Guntur", South Andaman,Charitable/Vol,9502698123,aapadbandhubbgnt@gmail.com,StockCamps
5,Andaman Nicobar,Aapadbandhu Blood Centre Chirala,"DNO 21-1-190, 1st Floor, Chirala Prakasam A.P, Chirala, Dist. Bapatla", South Andaman,Charitable/Vol,9121976191,aapadbandhubbchirala@gmail.com,StockCamps
6,Andaman Nicobar,Aayush Hospitals Blood Bank,"D.NO.48-13-3,3A,Ring Road, Sri Ramachandra Nagar,Vjayawada, Vijayawada, Dist. NTR", South Andaman,Private,8498061158,padma.parvataneni@gmail.com,StockCamps
7,Andaman Nicobar,Acsr Government General Hospital Blood Centre Nellore,"Government Head Quarter Hospital Premises, Ist Floor, Nellore, Dist. Sri Potti Sriramulu Nellore", South Andaman,Govt.,8309777410,acsrgmcnlr@gmail.com,StockCamps
8,Andaman Nicobar,Adp Voluntary Blood Centre,"D.no.19/417/19/417-1,2nd floor,Balajis Complex,Opp.Municipal School,M.M.Road,Adoni, Kurnool, Dist. Kurnool", South Andaman,Charitable/Vol,9550939235,adpbloodcentre@gmail.com,StockCamps
9,Andaman Nicobar,"Akshaya Blood Centre, Kakinada","6-1-44/1, 2nd floor, polisetty plaza,jawahar street, surya rao pet, kakinada, Kakinada, Dist. Kakinada", South Andaman,Charitable/Vol,9989789761,Akshayabloodcenterkkd@gmail.com,StockCamps
10,Andaman Nicobar,Akshaya Blood Centre Kurnool,"#46/87-1 to 5,3rd Floor ,Hotel Sasya Complex ,budhawarpet, kurnool ,Andhra Pradesh, Kurnool, Dist. Kurnool", South Andaman,Private,9494444180,akshayabloodbank81@gmail.com,StockCamps
11,Andaman Nicobar,All India Institute Of Medical Sciences Blood Centre Mangalagiri,"IPD Block, Ground Floor, AIIMS Managalgiri, Managalgiri, Dist. Guntur", South Andaman,Govt.,9440106689,chaitanya.ihbt@aiimsmangalagiri.edu.in,StockCamps
12,Andaman Nicobar,Alluri Sita Rama Raju Acadamy Of Medical Sciences Blood Centre,"Ground Floor, Hospital Block, NH5, Eluru, Dist. Eluru", South Andaman,Charitable/Vol,9700951337,asrambloodbank@gmail.com,StockCamps
13,Andaman Nicobar,Amara Blood Centre,"D.No 9-651, 3rd floor, Amara Hospital, Karakambadi, Tirupati., Tirupati, Dist. Tirupati", South Andaman,Charitable/Vol,8341847775,amarafoundationtirupati@gmail.com,StockCamps
14,Andaman Nicobar,American Cancer Care Blood Centre,"d.no:29-13-41/1,near pushpa hotel bus stop,Kaleswara Rao Road,Suryaraopeta,Vijayawada,NTR District,A.P, Vijayawada, Dist. NTR", South Andaman,Private,8003104108,acc.bloodbank2023@gmail.com,StockCamps
15,Andaman Nicobar,Amma Blood Centre,"d.No 11-4-11/1, Kailash Nagar, Kanithi Road,Gajuwaka,visakhapatnam., Visakhapatnam, Dist. Visakhapatnam", South Andaman,Charitable/Vol,8328098871,gllkiran21@gmail.com,StockCamps
16,Andaman Nicobar,Andhra Hospital Blood Bank,"#16-72/1, 2nd Floor , Opp High School ,Gollapudi, Vijayawada, Dist. NTR", South Andaman,Private,9989557555,andhrahospitalsbvpm@hotmail.com,StockCamps
17,Andaman Nicobar,Anil Neerukunda Hospital Blood Centre,"SangiValasa, Bheemunipatnam (M), Visakhapatnam, Dist. Visakhapatnam", South Andaman,Private,8008901273,anhbb2017@gmail.com,StockCamps
18,Andaman Nicobar,Anna Gowri Medical College And Hospital Blood Centre,"Parameswaramangalam, Puttur, Puttur, Dist. Tirupati", South Andaman,Private,8074059945,contact.agmch@gmail.com,StockCamps
